SAT;GPA;Course;Decision;Academic_Year;Session;Bocconi_Score
1420.0;9.48;BIEM;reject;26-27;Winter;0.914725
1420.0;9.48;BIEF;reject;26-27;Winter;0.914725
1420.0;9.48;BEMACS;reject;26-27;Winter;0.914725
1510.0;9.55;BEMACS;reject;26-27;Winter;0.9488125000000001
1560.0;9.4;BIEM;reject;26-27;Winter;0.95925
1410.0;9.75;BIEM;reject;26-27;Winter;0.9234375
1440.0;9.7;BIEM;accept;26-27;Winter;0.9315
1450.0;9.4;BIEM;reject;26-27;Winter;0.9214375000000001
1440.0;9.5;BIG;accept;26-27;Winter;0.9225000000000001
1500.0;9.1;BIEM;reject;26-27;Winter;0.925125
1450.0;9.9;BIEM;accept;26-27;Winter;0.9439375000000001
1520.0;8.975;BIEM;reject;26-27;Winter;0.926375
1540.0;9.49;BIEF;reject;26-27;Winter;0.9564250000000001
1540.0;9.145;BEMACS;reject;26-27;Winter;0.9409000000000001
1540.0;9.49;BIEM;accept;26-27;Winter;0.9564250000000001
1510.0;9.225;BIEM;accept;26-27;Winter;0.9341875
1510.0;9.225;CLEACC;accept;26-27;Winter;0.9341875
1510.0;9.225;BIG;accept;26-27;Winter;0.9341875
1510.0;9.41;BIEM;accept;26-27;Winter;0.9425125000000001
1510.0;9.41;BIEF;reject;26-27;Winter;0.9425125000000001
1510.0;9.41;BEMACS;reject;26-27;Winter;0.9425125000000001
1510.0;9.41;BAI;reject;26-27;Winter;0.9425125000000001
1530.0;8.8;BIEM;reject;26-27;Winter;0.9219375000000001
1530.0;8.8;BEMACS;reject;26-27;Winter;0.9219375000000001
1530.0;8.8;BESS;reject;26-27;Winter;0.9219375000000001
1490.0;9.96;BEMACS;accept;26-27;Winter;0.9603875000000001
1490.0;9.0;BIEM;reject;26-27;Winter;0.9171875
1370.0;9.75;BEMACS;accept;26-27;Winter;0.9096875
1550.0;9.2;BIEM;accept;26-27;Winter;0.9468125000000001
1450.0;9.8;BIEM;accept;26-27;Winter;0.9394375000000001
1380.0;9.7;BIEM;reject;26-27;Winter;0.9108750000000001
1470.0;9.6;BIEM;reject;26-27;Winter;0.9373125
1470.0;9.1;BIEM;reject;26-27;Winter;0.9148125
1490.0;10.0;BIEM;accept;26-27;Winter;0.9621875
1500.0;9.36;BIEM;accept;26-27;Winter;0.936825
1500.0;9.5;BIEM;reject;26-27;Winter;0.943125
1500.0;9.5;BIEF;reject;26-27;Winter;0.943125
1500.0;9.5;BESS;reject;26-27;Winter;0.943125
1480.0;9.7;BIG;accept;26-27;Winter;0.94525
1570.0;9.1;BIEM;reject;26-27;Winter;0.9491875
1570.0;9.1;BIEF;reject;26-27;Winter;0.9491875
1540.0;9.39;BIEM;accept;26-27;Winter;0.9519250000000001
1490.0;9.34;BIEM;reject;26-27;Winter;0.9324875
1490.0;9.31;BIEM;reject;26-27;Winter;0.9311375000000001
1510.0;9.6;BIEM;accept;26-27;Winter;0.9510624999999999
1470.0;9.83;BEMACS;accept;26-27;Winter;0.9476625000000001
1540.0;9.1;BIEF;reject;26-27;Winter;0.938875
1450.0;9.3;BIEM;accept;26-27;Winter;0.9169375000000001
1450.0;9.3;BIEF;accept;26-27;Winter;0.9169375000000001
1450.0;9.3;BESS;accept;26-27;Winter;0.9169375000000001
1450.0;9.3;CLEACC;accept;26-27;Winter;0.9169375000000001
1570.0;10.0;BAI;accept;26-27;Winter;0.9896875
1510.0;9.825;BEMACC;accept;26-27;Winter;0.9611875
1600.0;9.67;BIEF;accept;26-27;Winter;0.98515
1490.0;9.875;BIEF;accept;26-27;Winter;0.9565625
1540.0;9.93;BIEF;accept;26-27;Winter;0.9762250000000001
1530.0;10.0;BIEF;accept;26-27;Winter;0.9759375000000001
1420.0;8.4;BIEF;accept;26-27;Winter;0.866125
1520.0;9.7;BIEF;accept;26-27;Winter;0.959
1470.0;9.52;BIEM;accept;26-27;Winter;0.9337125000000001
1470.0;10.0;BIEF;accept;26-27;Winter;0.9553125
1500.0;9.65;BIEF;reject;26-27;Winter;0.949875
1500.0;9.55;BEMACS;accept;26-27;Winter;0.9453750000000001
1450.0;10.0;BIEF;accept;26-27;Winter;0.9484375
1590.0;10.0;BIEF;accept;26-27;Winter;0.9965625
1440.0;9.73;BEMACS;accept;26-27;Winter;0.9328500000000002
1440.0;9.8;BIEF;reject;26-27;Winter;0.9360000000000002
1440.0;9.8;BAI;accept;26-27;Winter;0.9360000000000002
1540.0;10.0;BIEM;accept;26-27;Winter;0.9793750000000001
1470.0;9.4;BIEM;reject;26-27;Winter;0.9283125000000001
1470.0;9.4;BIEF;reject;26-27;Winter;0.9283125000000001
1470.0;9.4;BESS;reject;26-27;Winter;0.9283125000000001
1540.0;9.54;BEMACS;reject;26-27;Winter;0.958675
1540.0;9.54;BAI;reject;26-27;Winter;0.958675
1430.0;9.06;BGL;reject;26-27;Winter;0.8992625000000001
1490.0;9.3;BEMACS;accept;26-27;Winter;0.9306875000000001
1480.0;9.8;BIEM;accept;26-27;Winter;0.9497500000000001
1440.0;9.58;BIEM;accept;26-27;Early;0.9261
1440.0;9.69;BIEM;accept;26-27;Early;0.93105
